year,category,data_item,value,units,period,unit
2004,Other indicators,Slaughter cow price,52.66,Dollar per hundredweight,annual,Dollar per hundredweight
2005,January 1 inventory,Milk cows and heifers that have calved,9003.5,Thousand head,annual,Thousand head
2005,January 1 inventory,"Replacement heifers, 500+ pounds",4116.6,Thousand head,annual,Thousand head
2005,January 1 inventory,Replacements per 100 cows,45.7,Head,annual,Head
2005,Production indicators,Milk production,176931.0,Million pounds,annual,Million pounds
2005,Production indicators,Milk per cow,19550.0,Pounds,annual,Pounds
2005,Production indicators,Average number of milk cows in the United States,9050.0,Thousand,annual,Thousand
2005,Milk and feed price indicators,Average price paid for milk,15.1,Dollar per hundredweight,annual,Dollar per hundredweight
2005,Milk and feed price indicators,Milk-feed ratio,3.24,Number,annual,Number
2005,Milk and feed price indicators,Dairy feed value,4.66,Dollar per hundredweight,annual,Dollar per hundredweight
2005,Dairy cow indicators,Dairy cow prices,1772.5,Dollars per head,annual,Dollars per head
2005,Dairy cow indicators,Milk volume required to buy a cow,11738.0,Pounds,annual,Pounds
2005,Other indicators,Alfalfa hay price received by farmers,102.53,Dollars per ton,annual,Dollars per ton
2005,Other indicators,Slaughter cow price,53.94,Dollar per hundredweight,annual,Dollar per hundredweight
2006,January 1 inventory,Milk cows and heifers that have calved,9103.9,Thousand head,annual,Thousand head
2006,January 1 inventory,"Replacement heifers, 500+ pounds",4298.0,Thousand head,annual,Thousand head
2006,January 1 inventory,Replacements per 100 cows,47.2,Head,annual,Head
2006,Production indicators,Milk production,181782.0,Million pounds,annual,Million pounds
2006,Production indicators,Milk per cow,19895.0,Pounds,annual,Pounds
2006,Production indicators,Average number of milk cows in the United States,9137.0,Thousand,annual,Thousand
2006,Milk and feed price indicators,Average price paid for milk,12.9,Dollar per hundredweight,annual,Dollar per hundredweight
2006,Milk and feed price indicators,Milk-feed ratio,2.57,Number,annual,Number
2006,Milk and feed price indicators,Dairy feed value,5.02,Dollar per hundredweight,annual,Dollar per hundredweight
2006,Dairy cow indicators,Dairy cow prices,1735.0,Dollars per head,annual,Dollars per head
2006,Dairy cow indicators,Milk volume required to buy a cow,13450.0,Pounds,annual,Pounds
2006,Other indicators,Alfalfa hay price received by farmers,107.71,Dollars per ton,annual,Dollars per ton
2006,Other indicators,Slaughter cow price,49.08,Dollar per hundredweight,annual,Dollar per hundredweight
2007,January 1 inventory,Milk cows and heifers that have calved,9144.5,Thousand head,annual,Thousand head
2007,January 1 inventory,"Replacement heifers, 500+ pounds",4324.9,Thousand head,annual,Thousand head
2007,January 1 inventory,Replacements per 100 cows,47.3,Head,annual,Head
2007,Production indicators,Milk production,185654.0,Million pounds,annual,Million pounds
2007,Production indicators,Milk per cow,20204.0,Pounds,annual,Pounds
2007,Production indicators,Average number of milk cows in the United States,9189.0,Thousand,annual,Thousand
2007,Milk and feed price indicators,Average price paid for milk,19.1,Dollar per hundredweight,annual,Dollar per hundredweight
2007,Milk and feed price indicators,Milk-feed ratio,2.8,Number,annual,Number
2007,Milk and feed price indicators,Dairy feed value,6.82,Dollar per hundredweight,annual,Dollar per hundredweight
2007,Dairy cow indicators,Dairy cow prices,1840.0,Dollars per head,annual,Dollars per head
2007,Dairy cow indicators,Milk volume required to buy a cow,9634.0,Pounds,annual,Pounds
2007,Other indicators,Alfalfa hay price received by farmers,130.58,Dollars per ton,annual,Dollars per ton
2007,Other indicators,Slaughter cow price,49.51,Dollar per hundredweight,annual,Dollar per hundredweight
2008,January 1 inventory,Milk cows and heifers that have calved,9257.0,Thousand head,annual,Thousand head
2008,January 1 inventory,"Replacement heifers, 500+ pounds",4415.0,Thousand head,annual,Thousand head
2008,January 1 inventory,Replacements per 100 cows,47.7,Head,annual,Head
2008,Production indicators,Milk production,189978.0,Million pounds,annual,Million pounds
2008,Production indicators,Milk per cow,20397.0,Pounds,annual,Pounds
2008,Production indicators,Average number of milk cows in the United States,9314.0,Thousand,annual,Thousand
2008,Milk and feed price indicators,Average price paid for milk,18.3,Dollar per hundredweight,annual,Dollar per hundredweight
2008,Milk and feed price indicators,Milk-feed ratio,2.01,Number,annual,Number
2008,Milk and feed price indicators,Dairy feed value,9.1,Dollar per hundredweight,annual,Dollar per hundredweight
2008,Dairy cow indicators,Dairy cow prices,1950.0,Dollars per head,annual,Dollars per head
2008,Dairy cow indicators,Milk volume required to buy a cow,10656.0,Pounds,annual,Pounds
2008,Other indicators,Alfalfa hay price received by farmers,161.33,Dollars per ton,annual,Dollars per ton
2008,Other indicators,Slaughter cow price,51.44,Dollar per hundredweight,annual,Dollar per hundredweight
2009,January 1 inventory,Milk cows and heifers that have calved,9332.8,Thousand head,annual,Thousand head
2009,January 1 inventory,"Replacement heifers, 500+ pounds",4409.5,Thousand head,annual,Thousand head
2009,January 1 inventory,Replacements per 100 cows,47.2,Head,annual,Head
2009,Production indicators,Milk production,189202.0,Million pounds,annual,Million pounds
2009,Production indicators,Milk per cow,20561.0,Pounds,annual,Pounds
2009,Production indicators,Average number of milk cows in the United States,9202.0,Thousand,annual,Thousand
2009,Milk and feed price indicators,Average price paid for milk,12.8,Dollar per hundredweight,annual,Dollar per hundredweight
2009,Milk and feed price indicators,Milk-feed ratio,1.78,Number,annual,Number
2009,Milk and feed price indicators,Dairy feed value,7.19,Dollar per hundredweight,annual,Dollar per hundredweight
2009,Dairy cow indicators,Dairy cow prices,1385.0,Dollars per head,annual,Dollars per head
2009,Dairy cow indicators,Milk volume required to buy a cow,10820.0,Pounds,annual,Pounds
2009,Other indicators,Alfalfa hay price received by farmers,122.92,Dollars per ton,annual,Dollars per ton
2009,Other indicators,Slaughter cow price,44.38,Dollar per hundredweight,annual,Dollar per hundredweight
2010,January 1 inventory,Milk cows and heifers that have calved,9086.5,Thousand head,annual,Thousand head
2010,January 1 inventory,"Replacement heifers, 500+ pounds",4551.2,Thousand head,annual,Thousand head
2010,January 1 inventory,Replacements per 100 cows,50.1,Head,annual,Head
2010,Production indicators,Milk production,192877.0,Million pounds,annual,Million pounds
2010,Production indicators,Milk per cow,21142.0,Pounds,annual,Pounds
2010,Production indicators,Average number of milk cows in the United States,9123.0,Thousand,annual,Thousand
2010,Milk and feed price indicators,Average price paid for milk,16.3,Dollar per hundredweight,annual,Dollar per hundredweight
2010,Milk and feed price indicators,Milk-feed ratio,2.26,Number,annual,Number
2010,Milk and feed price indicators,Dairy feed value,7.21,Dollar per hundredweight,annual,Dollar per hundredweight
2010,Dairy cow indicators,Dairy cow prices,1330.0,Dollars per head,annual,Dollars per head
2010,Dairy cow indicators,Milk volume required to buy a cow,8160.0,Pounds,annual,Pounds
2010,Other indicators,Alfalfa hay price received by farmers,116.42,Dollars per ton,annual,Dollars per ton
2010,Other indicators,Slaughter cow price,56.1,Dollar per hundredweight,annual,Dollar per hundredweight
2011,January 1 inventory,Milk cows and heifers that have calved,9155.6,Thousand head,annual,Thousand head
2011,January 1 inventory,"Replacement heifers, 500+ pounds",4577.2,Thousand head,annual,Thousand head
2011,January 1 inventory,Replacements per 100 cows,50.0,Head,annual,Head
2011,Production indicators,Milk production,196255.0,Million pounds,annual,Million pounds
2011,Production indicators,Milk per cow,21334.0,Pounds,annual,Pounds
2011,Production indicators,Average number of milk cows in the United States,9199.0,Thousand,annual,Thousand
2011,Milk and feed price indicators,Average price paid for milk,20.1,Dollar per hundredweight,annual,Dollar per hundredweight
2011,Milk and feed price indicators,Milk-feed ratio,1.9,Number,annual,Number
2011,Milk and feed price indicators,Dairy feed value,10.58,Dollar per hundredweight,annual,Dollar per hundredweight
2011,Dairy cow indicators,Dairy cow prices,1420.0,Dollars per head,annual,Dollars per head
2011,Dairy cow indicators,Milk volume required to buy a cow,7065.0,Pounds,annual,Pounds
2011,Other indicators,Alfalfa hay price received by farmers,176.08,Dollars per ton,annual,Dollars per ton
2011,Other indicators,Slaughter cow price,68.3,Dollar per hundredweight,annual,Dollar per hundredweight
2012,January 1 inventory,Milk cows and heifers that have calved,9235.5,Thousand head,annual,Thousand head
2012,January 1 inventory,"Replacement heifers, 500+ pounds",4618.0,Thousand head,annual,Thousand head
2012,January 1 inventory,Replacements per 100 cows,50.0,Head,annual,Head
2012,Production indicators,Milk production,200642.0,Million pounds,annual,Million pounds
2012,Production indicators,Milk per cow,21722.0,Pounds,annual,Pounds
2012,Production indicators,Average number of milk cows in the United States,9237.0,Thousand,annual,Thousand
2012,Milk and feed price indicators,Average price paid for milk,18.5,Dollar per hundredweight,annual,Dollar per hundredweight
2012,Milk and feed price indicators,Milk-feed ratio,1.52,Number,annual,Number
2012,Milk and feed price indicators,Dairy feed value,12.17,Dollar per hundredweight,annual,Dollar per hundredweight
2012,Dairy cow indicators,Dairy cow prices,1427.5,Dollars per head,annual,Dollars per head
2012,Dairy cow indicators,Milk volume required to buy a cow,7716.0,Pounds,annual,Pounds
2012,Other indicators,Alfalfa hay price received by farmers,206.08,Dollars per ton,annual,Dollars per ton
2012,Other indicators,Slaughter cow price,77.71,Dollar per hundredweight,annual,Dollar per hundredweight
2013,January 1 inventory,Milk cows and heifers that have calved,9221.2,Thousand head,annual,Thousand head
2013,January 1 inventory,"Replacement heifers, 500+ pounds",4545.7,Thousand head,annual,Thousand head
2013,January 1 inventory,Replacements per 100 cows,49.3,Head,annual,Head
2013,Production indicators,Milk production,201260.0,Million pounds,annual,Million pounds
2013,Production indicators,Milk per cow,21819.0,Pounds,annual,Pounds
2013,Production indicators,Average number of milk cows in the United States,9224.0,Thousand,annual,Thousand
2013,Milk and feed price indicators,Average price paid for milk,20.1,Dollar per hundredweight,annual,Dollar per hundredweight
2013,Milk and feed price indicators,Milk-feed ratio,1.75,Number,annual,Number
2013,Milk and feed price indicators,Dairy feed value,11.49,Dollar per hundredweight,annual,Dollar per hundredweight
2013,Dairy cow indicators,Dairy cow prices,1390.0,Dollars per head,annual,Dollars per head
2013,Dairy cow indicators,Milk volume required to buy a cow,6915.0,Pounds,annual,Pounds
2013,Other indicators,Alfalfa hay price received by farmers,205.83,Dollars per ton,annual,Dollars per ton
2013,Other indicators,Slaughter cow price,77.56,Dollar per hundredweight,annual,Dollar per hundredweight
2014,January 1 inventory,Milk cows and heifers that have calved,9208.6,Thousand head,annual,Thousand head
2014,January 1 inventory,"Replacement heifers, 500+ pounds",4538.7,Thousand head,annual,Thousand head
2014,January 1 inventory,Replacements per 100 cows,49.3,Head,annual,Head
2014,Production indicators,Milk production,206048.0,Million pounds,annual,Million pounds
2014,Production indicators,Milk per cow,22249.0,Pounds,annual,Pounds
2014,Production indicators,Average number of milk cows in the United States,9261.0,Thousand,annual,Thousand
2014,Milk and feed price indicators,Average price paid for milk,24.0,Dollar per hundredweight,annual,Dollar per hundredweight
2014,Milk and feed price indicators,Milk-feed ratio,2.54,Number,annual,Number
2014,Milk and feed price indicators,Dairy feed value,9.45,Dollar per hundredweight,annual,Dollar per hundredweight
2014,Dairy cow indicators,Dairy cow prices,1835.0,Dollars per head,annual,Dollars per head
2014,Dairy cow indicators,Milk volume required to buy a cow,7646.0,Pounds,annual,Pounds
2014,Other indicators,Alfalfa hay price received by farmers,200.25,Dollars per ton,annual,Dollars per ton
2014,Other indicators,Slaughter cow price,102.04,Dollar per hundredweight,annual,Dollar per hundredweight
2015,January 1 inventory,Milk cows and heifers that have calved,9311.9,Thousand head,annual,Thousand head
2015,January 1 inventory,"Replacement heifers, 500+ pounds",4710.4,Thousand head,annual,Thousand head
2015,January 1 inventory,Replacements per 100 cows,50.6,Head,annual,Head
2015,Production indicators,Milk production,208508.0,Million pounds,annual,Million pounds
2015,Production indicators,Milk per cow,22372.0,Pounds,annual,Pounds
2015,Production indicators,Average number of milk cows in the United States,9320.0,Thousand,annual,Thousand
2015,Milk and feed price indicators,Average price paid for milk,17.1,Dollar per hundredweight,annual,Dollar per hundredweight
2015,Milk and feed price indicators,Milk-feed ratio,2.14,Number,annual,Number
2015,Milk and feed price indicators,Dairy feed value,7.99,Dollar per hundredweight,annual,Dollar per hundredweight
2015,Dairy cow indicators,Dairy cow prices,1992.5,Dollars per head,annual,Dollars per head
2015,Dairy cow indicators,Milk volume required to buy a cow,11652.0,Pounds,annual,Pounds
2015,Other indicators,Alfalfa hay price received by farmers,165.83,Dollars per ton,annual,Dollars per ton
2015,Other indicators,Slaughter cow price,99.56,Dollar per hundredweight,annual,Dollar per hundredweight
2016,January 1 inventory,Milk cows and heifers that have calved,9312.4,Thousand head,annual,Thousand head
2016,January 1 inventory,"Replacement heifers, 500+ pounds",4814.0,Thousand head,annual,Thousand head
2016,January 1 inventory,Replacements per 100 cows,51.7,Head,annual,Head
2016,Production indicators,Milk production,212451.0,Million pounds,annual,Million pounds
2016,Production indicators,Milk per cow,22761.0,Pounds,annual,Pounds
2016,Production indicators,Average number of milk cows in the United States,9334.0,Thousand,annual,Thousand
2016,Milk and feed price indicators,Average price paid for milk,16.3,Dollar per hundredweight,annual,Dollar per hundredweight
2016,Milk and feed price indicators,Milk-feed ratio,2.26,Number,annual,Number
2016,Milk and feed price indicators,Dairy feed value,7.21,Dollar per hundredweight,annual,Dollar per hundredweight
2016,Dairy cow indicators,Dairy cow prices,1770.0,Dollars per head,annual,Dollars per head
2016,Dairy cow indicators,Milk volume required to buy a cow,10859.0,Pounds,annual,Pounds
2016,Other indicators,Alfalfa hay price received by farmers,138.33,Dollars per ton,annual,Dollars per ton
2016,Other indicators,Slaughter cow price,70.07,Dollar per hundredweight,annual,Dollar per hundredweight
2017,January 1 inventory,Milk cows and heifers that have calved,9368.5,Thousand head,annual,Thousand head
2017,January 1 inventory,"Replacement heifers, 500+ pounds",4754.0,Thousand head,annual,Thousand head
2017,January 1 inventory,Replacements per 100 cows,50.7,Head,annual,Head
2017,Production indicators,Milk production,215527.0,Million pounds,annual,Million pounds
2017,Production indicators,Milk per cow,22914.0,Pounds,annual,Pounds
2017,Production indicators,Average number of milk cows in the United States,9406.0,Thousand,annual,Thousand
2017,Milk and feed price indicators,Average price paid for milk,17.7,Dollar per hundredweight,annual,Dollar per hundredweight
2017,Milk and feed price indicators,Milk-feed ratio,2.42,Number,annual,Number
2017,Milk and feed price indicators,Dairy feed value,7.31,Dollar per hundredweight,annual,Dollar per hundredweight
2017,Dairy cow indicators,Dairy cow prices,1622.5,Dollars per head,annual,Dollars per head
2017,Dairy cow indicators,Milk volume required to buy a cow,9167.0,Pounds,annual,Pounds
2017,Other indicators,Alfalfa hay price received by farmers,145.67,Dollars per ton,annual,Dollars per ton
2017,Other indicators,Slaughter cow price,65.16,Dollar per hundredweight,annual,Dollar per hundredweight
2018,January 1 inventory,Milk cows and heifers that have calved,9432.1,Thousand head,annual,Thousand head
2018,January 1 inventory,"Replacement heifers, 500+ pounds",4768.3,Thousand head,annual,Thousand head
2018,January 1 inventory,Replacements per 100 cows,50.6,Head,annual,Head
2018,Production indicators,Milk production,217584.0,Million pounds,annual,Million pounds
2018,Production indicators,Milk per cow,23152.0,Pounds,annual,Pounds
2018,Production indicators,Average number of milk cows in the United States,9398.0,Thousand,annual,Thousand
2018,Milk and feed price indicators,Average price paid for milk,16.3,Dollar per hundredweight,annual,Dollar per hundredweight
2018,Milk and feed price indicators,Milk-feed ratio,2.05,Number,annual,Number
2018,Milk and feed price indicators,Dairy feed value,7.95,Dollar per hundredweight,annual,Dollar per hundredweight
2018,Dairy cow indicators,Dairy cow prices,1357.5,Dollars per head,annual,Dollars per head
2018,Dairy cow indicators,Milk volume required to buy a cow,8328.0,Pounds,annual,Pounds
2018,Other indicators,Alfalfa hay price received by farmers,174.17,Dollars per ton,annual,Dollars per ton
2018,Other indicators,Slaughter cow price,57.43,Dollar per hundredweight,annual,Dollar per hundredweight
2019,January 1 inventory,Milk cows and heifers that have calved,9353.4,Thousand head,annual,Thousand head
2019,January 1 inventory,"Replacement heifers, 500+ pounds",4673.5,Thousand head,annual,Thousand head
2019,January 1 inventory,Replacements per 100 cows,50.0,Head,annual,Head
2019,Production indicators,Milk production,218444.0,Million pounds,annual,Million pounds
2019,Production indicators,Milk per cow,23401.0,Pounds,annual,Pounds
2019,Production indicators,Average number of milk cows in the United States,9335.0,Thousand,annual,Thousand
2019,Milk and feed price indicators,Average price paid for milk,18.7,Dollar per hundredweight,annual,Dollar per hundredweight
2019,Milk and feed price indicators,Milk-feed ratio,2.25,Number,annual,Number
2019,Milk and feed price indicators,Dairy feed value,8.31,Dollar per hundredweight,annual,Dollar per hundredweight
2019,Dairy cow indicators,Dairy cow prices,1205.0,Dollars per head,annual,Dollars per head
2019,Dairy cow indicators,Milk volume required to buy a cow,6444.0,Pounds,annual,Pounds
2019,Other indicators,Alfalfa hay price received by farmers,182.92,Dollars per ton,annual,Dollars per ton
2019,Other indicators,Slaughter cow price,56.43,Dollar per hundredweight,annual,Dollar per hundredweight
2020,January 1 inventory,Milk cows and heifers that have calved,9343.6,Thousand head,annual,Thousand head
2020,January 1 inventory,"Replacement heifers, 500+ pounds",4610.0,Thousand head,annual,Thousand head
2020,January 1 inventory,Replacements per 100 cows,49.3,Head,annual,Head
2020,Production indicators,Milk production,223282.0,Million pounds,annual,Million pounds
2020,Production indicators,Milk per cow,23764.0,Pounds,annual,Pounds
2020,Production indicators,Average number of milk cows in the United States,9396.0,Thousand,annual,Thousand
2020,Milk and feed price indicators,Average price paid for milk,18.1,Dollar per hundredweight,annual,Dollar per hundredweight
2020,Milk and feed price indicators,Milk-feed ratio,2.32,Number,annual,Number
2020,Milk and feed price indicators,Dairy feed value,7.8,Dollar per hundredweight,annual,Dollar per hundredweight
2020,Dairy cow indicators,Dairy cow prices,1300.0,Dollars per head,annual,Dollars per head
2020,Dairy cow indicators,Milk volume required to buy a cow,7182.0,Pounds,annual,Pounds
2020,Other indicators,Alfalfa hay price received by farmers,171.33,Dollars per ton,annual,Dollars per ton
2020,Other indicators,Slaughter cow price,60.61,Dollar per hundredweight,annual,Dollar per hundredweight
2021,January 1 inventory,Milk cows and heifers that have calved,9450.4,Thousand head,annual,Thousand head
2021,January 1 inventory,"Replacement heifers, 500+ pounds",4498.0,Thousand head,annual,Thousand head
2021,January 1 inventory,Replacements per 100 cows,47.6,Head,annual,Head
2021,Production indicators,Milk production,226238.0,Million pounds,annual,Million pounds
2021,Production indicators,Milk per cow,23943.0,Pounds,annual,Pounds
2021,Production indicators,Average number of milk cows in the United States,9449.0,Thousand,annual,Thousand
2021,Milk and feed price indicators,Average price paid for milk,18.5,Dollar per hundredweight,annual,Dollar per hundredweight
2021,Milk and feed price indicators,Milk-feed ratio,1.74,Number,annual,Number
2021,Milk and feed price indicators,Dairy feed value,10.63,Dollar per hundredweight,annual,Dollar per hundredweight
2021,Dairy cow indicators,Dairy cow prices,1362.5,Dollars per head,annual,Dollars per head
2021,Dairy cow indicators,Milk volume required to buy a cow,7365.0,Pounds,annual,Pounds
2021,Other indicators,Alfalfa hay price received by farmers,199.5,Dollars per ton,annual,Dollars per ton
2021,Other indicators,Slaughter cow price,64.91,Dollar per hundredweight,annual,Dollar per hundredweight
2022,January 1 inventory,Milk cows and heifers that have calved,9381.0,Thousand head,annual,Thousand head
2022,January 1 inventory,"Replacement heifers, 500+ pounds",4222.1,Thousand head,annual,Thousand head
2022,January 1 inventory,Replacements per 100 cows,45.0,Head,annual,Head
2022,Production indicators,Milk production,226416.0,Million pounds,annual,Million pounds
2022,Production indicators,Milk per cow,24087.0,Pounds,annual,Pounds
2022,Production indicators,Average number of milk cows in the United States,9400.0,Thousand,annual,Thousand
2022,Milk and feed price indicators,Average price paid for milk,25.3,Dollar per hundredweight,annual,Dollar per hundredweight
2022,Milk and feed price indicators,Milk-feed ratio,1.89,Number,annual,Number
2022,Milk and feed price indicators,Dairy feed value,13.39,Dollar per hundredweight,annual,Dollar per hundredweight
2022,Dairy cow indicators,Dairy cow prices,1597.5,Dollars per head,annual,Dollars per head
2022,Dairy cow indicators,Milk volume required to buy a cow,6314.0,Pounds,annual,Pounds
2022,Other indicators,Alfalfa hay price received by farmers,258.42,Dollars per ton,annual,Dollars per ton
2022,Other indicators,Slaughter cow price,78.44,Dollar per hundredweight,annual,Dollar per hundredweight
2023,January 1 inventory,Milk cows and heifers that have calved,9397.5,Thousand head,annual,Thousand head
2023,January 1 inventory,"Replacement heifers, 500+ pounds",4073.6,Thousand head,annual,Thousand head
2023,January 1 inventory,Replacements per 100 cows,43.3,Head,annual,Head
2023,Production indicators,Milk production,226311.0,Million pounds,annual,Million pounds
2023,Production indicators,Milk per cow,24117.0,Pounds,annual,Pounds
2023,Production indicators,Average number of milk cows in the United States,9384.0,Thousand,annual,Thousand
2023,Milk and feed price indicators,Average price paid for milk,20.3,Dollar per hundredweight,annual,Dollar per hundredweight
2023,Milk and feed price indicators,Milk-feed ratio,1.67,Number,annual,Number
2023,Milk and feed price indicators,Dairy feed value,12.16,Dollar per hundredweight,annual,Dollar per hundredweight
2023,Dairy cow indicators,Dairy cow prices,1762.5,Dollars per head,annual,Dollars per head
2023,Dairy cow indicators,Milk volume required to buy a cow,8682.0,Pounds,annual,Pounds
2023,Other indicators,Alfalfa hay price received by farmers,246.5,Dollars per ton,annual,Dollars per ton
2023,Other indicators,Slaughter cow price,94.77,Dollar per hundredweight,annual,Dollar per hundredweight
2024,January 1 inventory,Milk cows and heifers that have calved,9346.8,Thousand head,annual,Thousand head
2024,January 1 inventory,"Replacement heifers, 500+ pounds",3951.2,Thousand head,annual,Thousand head
2024,January 1 inventory,Replacements per 100 cows,42.3,Head,annual,Head
2024,Production indicators,Milk production,225868.0,Million pounds,annual,Million pounds
2024,Production indicators,Milk per cow,24178.0,Pounds,annual,Pounds
2024,Production indicators,Average number of milk cows in the United States,9342.0,Thousand,annual,Thousand
2024,Milk and feed price indicators,Average price paid for milk,22.6,Dollar per hundredweight,annual,Dollar per hundredweight
2024,Milk and feed price indicators,Milk-feed ratio,2.48,Number,annual,Number
2024,Milk and feed price indicators,Dairy feed value,9.11,Dollar per hundredweight,annual,Dollar per hundredweight
2024,Dairy cow indicators,Dairy cow prices,2242.5,Dollars per head,annual,Dollars per head
2024,Dairy cow indicators,Milk volume required to buy a cow,9923.0,Pounds,annual,Pounds
2024,Other indicators,Alfalfa hay price received by farmers,185.25,Dollars per ton,annual,Dollars per ton
2024,Other indicators,Slaughter cow price,118.8,Dollar per hundredweight,annual,Dollar per hundredweight
2025,January 1 inventory,Milk cows and heifers that have calved,9349.3,Thousand head,annual,Thousand head
2025,January 1 inventory,"Replacement heifers, 500+ pounds",3914.3,Thousand head,annual,Thousand head
2025,January 1 inventory,Replacements per 100 cows,41.9,Head,annual,Head
2025,Production indicators,Milk production,,Million pounds,annual,Million pounds
2025,Production indicators,Milk per cow,,Pounds,annual,Pounds
2025,Production indicators,Average number of milk cows in the United States,,Thousand,annual,Thousand
2025,Milk and feed price indicators,Average price paid for milk,,Dollar per hundredweight,annual,Dollar per hundredweight
2025,Milk and feed price indicators,Milk-feed ratio,,Number,annual,Number
2025,Milk and feed price indicators,Dairy feed value,,Dollar per hundredweight,annual,Dollar per hundredweight
2025,Dairy cow indicators,Dairy cow prices,,Dollars per head,annual,Dollars per head
2025,Dairy cow indicators,Milk volume required to buy a cow,,Pounds,annual,Pounds
2025,Other indicators,Alfalfa hay price received by farmers,,Dollars per ton,annual,Dollars per ton
2025,Other indicators,Slaughter cow price,,Dollar per hundredweight,annual,Dollar per hundredweight
