"Year","Category","Data_item","Value","Units"
1986,"January 1 inventory","Milk cows and heifers that have calved",11115.5,"Thousand head"
1986,"January 1 inventory","Replacement heifers, 500+ pounds",4708.7,"Thousand head"
1986,"January 1 inventory","Replacements per 100 cows",42.4,"Head"
1986,"Production indicators","Milk production",143124,"Million pounds"
1986,"Production indicators","Milk per cow",13285,"Pounds"
1986,"Production indicators","Average number of milk cows in the United States",10773,"Thousand"
1986,"Milk and feed price indicators","Average price paid for milk",12.5,"Dollar per hundredweight"
1986,"Milk and feed price indicators","Milk-feed ratio",3.39,"Number"
1986,"Milk and feed price indicators","Dairy feed value",3.77,"Dollar per hundredweight"
1986,"Dairy cow indicators","Dairy cow prices",821.25,"Dollars per head"
1986,"Dairy cow indicators","Milk volume required to buy a cow",6570,"Pounds"
1986,"Other indicators","Alfalfa hay price received by farmers",64.64,"Dollars per ton"
1986,"Other indicators","Slaughter cow price",37.18,"Dollar per hundredweight"
1987,"January 1 inventory","Milk cows and heifers that have calved",10466.4,"Thousand head"
1987,"January 1 inventory","Replacement heifers, 500+ pounds",4304.9,"Thousand head"
1987,"January 1 inventory","Replacements per 100 cows",41.1,"Head"
1987,"Production indicators","Milk production",142709,"Million pounds"
1987,"Production indicators","Milk per cow",13819,"Pounds"
1987,"Production indicators","Average number of milk cows in the United States",10327,"Thousand"
1987,"Milk and feed price indicators","Average price paid for milk",12.5,"Dollar per hundredweight"
1987,"Milk and feed price indicators","Milk-feed ratio",3.64,"Number"
1987,"Milk and feed price indicators","Dairy feed value",3.45,"Dollar per hundredweight"
1987,"Dairy cow indicators","Dairy cow prices",917.5,"Dollars per head"
1987,"Dairy cow indicators","Milk volume required to buy a cow",7340,"Pounds"
1987,"Other indicators","Alfalfa hay price received by farmers",65.97,"Dollars per ton"
1987,"Other indicators","Slaughter cow price",44.8,"Dollar per hundredweight"
1988,"January 1 inventory","Milk cows and heifers that have calved",10311.2,"Thousand head"
1988,"January 1 inventory","Replacement heifers, 500+ pounds",4122.3,"Thousand head"
1988,"January 1 inventory","Replacements per 100 cows",40,"Head"
1988,"Production indicators","Milk production",145034,"Million pounds"
1988,"Production indicators","Milk per cow",14185,"Pounds"
1988,"Production indicators","Average number of milk cows in the United States",10224,"Thousand"
1988,"Milk and feed price indicators","Average price paid for milk",12.2,"Dollar per hundredweight"
1988,"Milk and feed price indicators","Milk-feed ratio",2.63,"Number"
1988,"Milk and feed price indicators","Dairy feed value",4.72,"Dollar per hundredweight"
1988,"Dairy cow indicators","Dairy cow prices",986.25,"Dollars per head"
1988,"Dairy cow indicators","Milk volume required to buy a cow",8084,"Pounds"
1988,"Other indicators","Alfalfa hay price received by farmers",82.51,"Dollars per ton"
1988,"Other indicators","Slaughter cow price",47.91,"Dollar per hundredweight"
1989,"January 1 inventory","Milk cows and heifers that have calved",10137.5,"Thousand head"
1989,"January 1 inventory","Replacement heifers, 500+ pounds",4116.7,"Thousand head"
1989,"January 1 inventory","Replacements per 100 cows",40.6,"Head"
1989,"Production indicators","Milk production",143893,"Million pounds"
1989,"Production indicators","Milk per cow",14323,"Pounds"
1989,"Production indicators","Average number of milk cows in the United States",10046,"Thousand"
1989,"Milk and feed price indicators","Average price paid for milk",13.6,"Dollar per hundredweight"
1989,"Milk and feed price indicators","Milk-feed ratio",2.7,"Number"
1989,"Milk and feed price indicators","Dairy feed value",5.07,"Dollar per hundredweight"
1989,"Dairy cow indicators","Dairy cow prices",1032.5,"Dollars per head"
1989,"Dairy cow indicators","Milk volume required to buy a cow",7592,"Pounds"
1989,"Other indicators","Alfalfa hay price received by farmers",95.98,"Dollars per ton"
1989,"Other indicators","Slaughter cow price",50.11,"Dollar per hundredweight"
1990,"January 1 inventory","Milk cows and heifers that have calved",10014.8,"Thousand head"
1990,"January 1 inventory","Replacement heifers, 500+ pounds",4170.6,"Thousand head"
1990,"January 1 inventory","Replacements per 100 cows",41.6,"Head"
1990,"Production indicators","Milk production",147721,"Million pounds"
1990,"Production indicators","Milk per cow",14782,"Pounds"
1990,"Production indicators","Average number of milk cows in the United States",9993,"Thousand"
1990,"Milk and feed price indicators","Average price paid for milk",13.7,"Dollar per hundredweight"
1990,"Milk and feed price indicators","Milk-feed ratio",2.82,"Number"
1990,"Milk and feed price indicators","Dairy feed value",4.86,"Dollar per hundredweight"
1990,"Dairy cow indicators","Dairy cow prices",1157.5,"Dollars per head"
1990,"Dairy cow indicators","Milk volume required to buy a cow",8449,"Pounds"
1990,"Other indicators","Alfalfa hay price received by farmers",92.56,"Dollars per ton"
1990,"Other indicators","Slaughter cow price",53.32,"Dollar per hundredweight"
1991,"January 1 inventory","Milk cows and heifers that have calved",9965.6,"Thousand head"
1991,"January 1 inventory","Replacement heifers, 500+ pounds",4093.4,"Thousand head"
1991,"January 1 inventory","Replacements per 100 cows",41.1,"Head"
1991,"Production indicators","Milk production",147697,"Million pounds"
1991,"Production indicators","Milk per cow",15031,"Pounds"
1991,"Production indicators","Average number of milk cows in the United States",9826,"Thousand"
1991,"Milk and feed price indicators","Average price paid for milk",12.2,"Dollar per hundredweight"
1991,"Milk and feed price indicators","Milk-feed ratio",2.74,"Number"
1991,"Milk and feed price indicators","Dairy feed value",4.49,"Dollar per hundredweight"
1991,"Dairy cow indicators","Dairy cow prices",1095,"Dollars per head"
1991,"Dairy cow indicators","Milk volume required to buy a cow",8975,"Pounds"
1991,"Other indicators","Alfalfa hay price received by farmers",78.96,"Dollars per ton"
1991,"Other indicators","Slaughter cow price",51.5,"Dollar per hundredweight"
1992,"January 1 inventory","Milk cows and heifers that have calved",9728.2,"Thousand head"
1992,"January 1 inventory","Replacement heifers, 500+ pounds",4131.4,"Thousand head"
1992,"January 1 inventory","Replacements per 100 cows",42.5,"Head"
1992,"Production indicators","Milk production",150847,"Million pounds"
1992,"Production indicators","Milk per cow",15570,"Pounds"
1992,"Production indicators","Average number of milk cows in the United States",9688,"Thousand"
1992,"Milk and feed price indicators","Average price paid for milk",13.1,"Dollar per hundredweight"
1992,"Milk and feed price indicators","Milk-feed ratio",3.01,"Number"
1992,"Milk and feed price indicators","Dairy feed value",4.37,"Dollar per hundredweight"
1992,"Dairy cow indicators","Dairy cow prices",1130,"Dollars per head"
1992,"Dairy cow indicators","Milk volume required to buy a cow",8626,"Pounds"
1992,"Other indicators","Alfalfa hay price received by farmers",75.51,"Dollars per ton"
1992,"Other indicators","Slaughter cow price",49.69,"Dollar per hundredweight"
1993,"January 1 inventory","Milk cows and heifers that have calved",9658.1,"Thousand head"
1993,"January 1 inventory","Replacement heifers, 500+ pounds",4176.2,"Thousand head"
1993,"January 1 inventory","Replacements per 100 cows",43.2,"Head"
1993,"Production indicators","Milk production",150636,"Million pounds"
1993,"Production indicators","Milk per cow",15722,"Pounds"
1993,"Production indicators","Average number of milk cows in the United States",9581,"Thousand"
1993,"Milk and feed price indicators","Average price paid for milk",12.8,"Dollar per hundredweight"
1993,"Milk and feed price indicators","Milk-feed ratio",2.8,"Number"
1993,"Milk and feed price indicators","Dairy feed value",4.6,"Dollar per hundredweight"
1993,"Dairy cow indicators","Dairy cow prices",1160,"Dollars per head"
1993,"Dairy cow indicators","Milk volume required to buy a cow",9062,"Pounds"
1993,"Other indicators","Alfalfa hay price received by farmers",86.67,"Dollars per ton"
1993,"Other indicators","Slaughter cow price",50.14,"Dollar per hundredweight"
1994,"January 1 inventory","Milk cows and heifers that have calved",9507,"Thousand head"
1994,"January 1 inventory","Replacement heifers, 500+ pounds",4124.5,"Thousand head"
1994,"January 1 inventory","Replacements per 100 cows",43.4,"Head"
1994,"Production indicators","Milk production",153602,"Million pounds"
1994,"Production indicators","Milk per cow",16179,"Pounds"
1994,"Production indicators","Average number of milk cows in the United States",9494,"Thousand"
1994,"Milk and feed price indicators","Average price paid for milk",13,"Dollar per hundredweight"
1994,"Milk and feed price indicators","Milk-feed ratio",2.65,"Number"
1994,"Milk and feed price indicators","Dairy feed value",4.93,"Dollar per hundredweight"
1994,"Dairy cow indicators","Dairy cow prices",1170,"Dollars per head"
1994,"Dairy cow indicators","Milk volume required to buy a cow",9000,"Pounds"
1994,"Other indicators","Alfalfa hay price received by farmers",93.63,"Dollars per ton"
1994,"Other indicators","Slaughter cow price",45.03,"Dollar per hundredweight"
1995,"January 1 inventory","Milk cows and heifers that have calved",9481.8,"Thousand head"
1995,"January 1 inventory","Replacement heifers, 500+ pounds",4121.3,"Thousand head"
1995,"January 1 inventory","Replacements per 100 cows",43.5,"Head"
1995,"Production indicators","Milk production",155292,"Million pounds"
1995,"Production indicators","Milk per cow",16405,"Pounds"
1995,"Production indicators","Average number of milk cows in the United States",9466,"Thousand"
1995,"Milk and feed price indicators","Average price paid for milk",12.7,"Dollar per hundredweight"
1995,"Milk and feed price indicators","Milk-feed ratio",2.59,"Number"
1995,"Milk and feed price indicators","Dairy feed value",4.91,"Dollar per hundredweight"
1995,"Dairy cow indicators","Dairy cow prices",1127.5,"Dollars per head"
1995,"Dairy cow indicators","Milk volume required to buy a cow",8878,"Pounds"
1995,"Other indicators","Alfalfa hay price received by farmers",88.09,"Dollars per ton"
1995,"Other indicators","Slaughter cow price",38.12,"Dollar per hundredweight"
1996,"January 1 inventory","Milk cows and heifers that have calved",9419.9,"Thousand head"
1996,"January 1 inventory","Replacement heifers, 500+ pounds",4090.3,"Thousand head"
1996,"January 1 inventory","Replacements per 100 cows",43.4,"Head"
1996,"Production indicators","Milk production",154006,"Million pounds"
1996,"Production indicators","Milk per cow",16433,"Pounds"
1996,"Production indicators","Average number of milk cows in the United States",9372,"Thousand"
1996,"Milk and feed price indicators","Average price paid for milk",14.9,"Dollar per hundredweight"
1996,"Milk and feed price indicators","Milk-feed ratio",2.44,"Number"
1996,"Milk and feed price indicators","Dairy feed value",6.11,"Dollar per hundredweight"
1996,"Dairy cow indicators","Dairy cow prices",1087.5,"Dollars per head"
1996,"Dairy cow indicators","Milk volume required to buy a cow",7299,"Pounds"
1996,"Other indicators","Alfalfa hay price received by farmers",95.03,"Dollars per ton"
1996,"Other indicators","Slaughter cow price",33,"Dollar per hundredweight"
1997,"January 1 inventory","Milk cows and heifers that have calved",9317.9,"Thousand head"
1997,"January 1 inventory","Replacement heifers, 500+ pounds",4058.4,"Thousand head"
1997,"January 1 inventory","Replacements per 100 cows",43.6,"Head"
1997,"Production indicators","Milk production",156091,"Million pounds"
1997,"Production indicators","Milk per cow",16871,"Pounds"
1997,"Production indicators","Average number of milk cows in the United States",9252,"Thousand"
1997,"Milk and feed price indicators","Average price paid for milk",13.3,"Dollar per hundredweight"
1997,"Milk and feed price indicators","Milk-feed ratio",2.38,"Number"
1997,"Milk and feed price indicators","Dairy feed value",5.59,"Dollar per hundredweight"
1997,"Dairy cow indicators","Dairy cow prices",1097.5,"Dollars per head"
1997,"Dairy cow indicators","Milk volume required to buy a cow",8252,"Pounds"
1997,"Other indicators","Alfalfa hay price received by farmers",110.69,"Dollars per ton"
1997,"Other indicators","Slaughter cow price",36.93,"Dollar per hundredweight"
1998,"January 1 inventory","Milk cows and heifers that have calved",9199,"Thousand head"
1998,"January 1 inventory","Replacement heifers, 500+ pounds",3985.7,"Thousand head"
1998,"January 1 inventory","Replacements per 100 cows",43.3,"Head"
1998,"Production indicators","Milk production",157262,"Million pounds"
1998,"Production indicators","Milk per cow",17185,"Pounds"
1998,"Production indicators","Average number of milk cows in the United States",9151,"Thousand"
1998,"Milk and feed price indicators","Average price paid for milk",15.5,"Dollar per hundredweight"
1998,"Milk and feed price indicators","Milk-feed ratio",3.34,"Number"
1998,"Milk and feed price indicators","Dairy feed value",4.64,"Dollar per hundredweight"
1998,"Dairy cow indicators","Dairy cow prices",1120,"Dollars per head"
1998,"Dairy cow indicators","Milk volume required to buy a cow",7226,"Pounds"
1998,"Other indicators","Alfalfa hay price received by farmers",94.28,"Dollars per ton"
1998,"Other indicators","Slaughter cow price",35.54,"Dollar per hundredweight"
1999,"January 1 inventory","Milk cows and heifers that have calved",9128,"Thousand head"
1999,"January 1 inventory","Replacement heifers, 500+ pounds",4068.8,"Thousand head"
1999,"January 1 inventory","Replacements per 100 cows",44.6,"Head"
1999,"Production indicators","Milk production",162589,"Million pounds"
1999,"Production indicators","Milk per cow",17763,"Pounds"
1999,"Production indicators","Average number of milk cows in the United States",9153,"Thousand"
1999,"Milk and feed price indicators","Average price paid for milk",14.4,"Dollar per hundredweight"
1999,"Milk and feed price indicators","Milk-feed ratio",3.59,"Number"
1999,"Milk and feed price indicators","Dairy feed value",4.01,"Dollar per hundredweight"
1999,"Dairy cow indicators","Dairy cow prices",1287.5,"Dollars per head"
1999,"Dairy cow indicators","Milk volume required to buy a cow",8941,"Pounds"
1999,"Other indicators","Alfalfa hay price received by farmers",82.26,"Dollars per ton"
1999,"Other indicators","Slaughter cow price",37.28,"Dollar per hundredweight"
2000,"January 1 inventory","Milk cows and heifers that have calved",9182.8,"Thousand head"
2000,"January 1 inventory","Replacement heifers, 500+ pounds",3999.8,"Thousand head"
2000,"January 1 inventory","Replacements per 100 cows",43.6,"Head"
2000,"Production indicators","Milk production",167393,"Million pounds"
2000,"Production indicators","Milk per cow",18197,"Pounds"
2000,"Production indicators","Average number of milk cows in the United States",9199,"Thousand"
2000,"Milk and feed price indicators","Average price paid for milk",12.3,"Dollar per hundredweight"
2000,"Milk and feed price indicators","Milk-feed ratio",3.05,"Number"
2000,"Milk and feed price indicators","Dairy feed value",4.03,"Dollar per hundredweight"
2000,"Dairy cow indicators","Dairy cow prices",1342.5,"Dollars per head"
2000,"Dairy cow indicators","Milk volume required to buy a cow",10915,"Pounds"
2000,"Other indicators","Alfalfa hay price received by farmers",83.88,"Dollars per ton"
2000,"Other indicators","Slaughter cow price",40.08,"Dollar per hundredweight"
2001,"January 1 inventory","Milk cows and heifers that have calved",9171.7,"Thousand head"
2001,"January 1 inventory","Replacement heifers, 500+ pounds",4057,"Thousand head"
2001,"January 1 inventory","Replacements per 100 cows",44.2,"Head"
2001,"Production indicators","Milk production",165332,"Million pounds"
2001,"Production indicators","Milk per cow",18162,"Pounds"
2001,"Production indicators","Average number of milk cows in the United States",9103,"Thousand"
2001,"Milk and feed price indicators","Average price paid for milk",15,"Dollar per hundredweight"
2001,"Milk and feed price indicators","Milk-feed ratio",3.39,"Number"
2001,"Milk and feed price indicators","Dairy feed value",4.42,"Dollar per hundredweight"
2001,"Dairy cow indicators","Dairy cow prices",1502.5,"Dollars per head"
2001,"Dairy cow indicators","Milk volume required to buy a cow",10017,"Pounds"
2001,"Other indicators","Alfalfa hay price received by farmers",102.41,"Dollars per ton"
2001,"Other indicators","Slaughter cow price",44.78,"Dollar per hundredweight"
