"Year","Category","Data_item","Value","Units"
2010,"Production indicators","Milk per cow",21142,"Pounds"
2010,"Production indicators","Average number of milk cows in the United States",9123,"Thousand"
2010,"Milk and feed price indicators","Average price paid for milk",16.3,"Dollar per hundredweight"
2010,"Milk and feed price indicators","Milk-feed ratio",2.26,"Number"
2010,"Milk and feed price indicators","Dairy feed value",7.21,"Dollar per hundredweight"
2010,"Dairy cow indicators","Dairy cow prices",1330,"Dollars per head"
2010,"Dairy cow indicators","Milk volume required to buy a cow",8160,"Pounds"
2010,"Other indicators","Alfalfa hay price received by farmers",116.42,"Dollars per ton"
2010,"Other indicators","Slaughter cow price",56.1,"Dollar per hundredweight"
2011,"January 1 inventory","Milk cows and heifers that have calved",9155.6,"Thousand head"
2011,"January 1 inventory","Replacement heifers, 500+ pounds",4577.2,"Thousand head"
2011,"January 1 inventory","Replacements per 100 cows",50,"Head"
2011,"Production indicators","Milk production",196255,"Million pounds"
2011,"Production indicators","Milk per cow",21334,"Pounds"
2011,"Production indicators","Average number of milk cows in the United States",9199,"Thousand"
2011,"Milk and feed price indicators","Average price paid for milk",20.1,"Dollar per hundredweight"
2011,"Milk and feed price indicators","Milk-feed ratio",1.9,"Number"
2011,"Milk and feed price indicators","Dairy feed value",10.58,"Dollar per hundredweight"
2011,"Dairy cow indicators","Dairy cow prices",1420,"Dollars per head"
2011,"Dairy cow indicators","Milk volume required to buy a cow",7065,"Pounds"
2011,"Other indicators","Alfalfa hay price received by farmers",176.08,"Dollars per ton"
2011,"Other indicators","Slaughter cow price",68.3,"Dollar per hundredweight"
2012,"January 1 inventory","Milk cows and heifers that have calved",9235.5,"Thousand head"
2012,"January 1 inventory","Replacement heifers, 500+ pounds",4618,"Thousand head"
2012,"January 1 inventory","Replacements per 100 cows",50,"Head"
2012,"Production indicators","Milk production",200642,"Million pounds"
2012,"Production indicators","Milk per cow",21722,"Pounds"
2012,"Production indicators","Average number of milk cows in the United States",9237,"Thousand"
2012,"Milk and feed price indicators","Average price paid for milk",18.5,"Dollar per hundredweight"
2012,"Milk and feed price indicators","Milk-feed ratio",1.52,"Number"
2012,"Milk and feed price indicators","Dairy feed value",12.17,"Dollar per hundredweight"
2012,"Dairy cow indicators","Dairy cow prices",1427.5,"Dollars per head"
2012,"Dairy cow indicators","Milk volume required to buy a cow",7716,"Pounds"
2012,"Other indicators","Alfalfa hay price received by farmers",206.08,"Dollars per ton"
2012,"Other indicators","Slaughter cow price",77.71,"Dollar per hundredweight"
2013,"January 1 inventory","Milk cows and heifers that have calved",9221.2,"Thousand head"
2013,"January 1 inventory","Replacement heifers, 500+ pounds",4545.7,"Thousand head"
2013,"January 1 inventory","Replacements per 100 cows",49.3,"Head"
2013,"Production indicators","Milk production",201260,"Million pounds"
2013,"Production indicators","Milk per cow",21819,"Pounds"
2013,"Production indicators","Average number of milk cows in the United States",9224,"Thousand"
2013,"Milk and feed price indicators","Average price paid for milk",20.1,"Dollar per hundredweight"
2013,"Milk and feed price indicators","Milk-feed ratio",1.75,"Number"
2013,"Milk and feed price indicators","Dairy feed value",11.49,"Dollar per hundredweight"
2013,"Dairy cow indicators","Dairy cow prices",1390,"Dollars per head"
2013,"Dairy cow indicators","Milk volume required to buy a cow",6915,"Pounds"
2013,"Other indicators","Alfalfa hay price received by farmers",205.83,"Dollars per ton"
2013,"Other indicators","Slaughter cow price",77.56,"Dollar per hundredweight"
2014,"January 1 inventory","Milk cows and heifers that have calved",9208.6,"Thousand head"
2014,"January 1 inventory","Replacement heifers, 500+ pounds",4538.7,"Thousand head"
2014,"January 1 inventory","Replacements per 100 cows",49.3,"Head"
2014,"Production indicators","Milk production",206048,"Million pounds"
2014,"Production indicators","Milk per cow",22249,"Pounds"
2014,"Production indicators","Average number of milk cows in the United States",9261,"Thousand"
2014,"Milk and feed price indicators","Average price paid for milk",24,"Dollar per hundredweight"
2014,"Milk and feed price indicators","Milk-feed ratio",2.54,"Number"
2014,"Milk and feed price indicators","Dairy feed value",9.45,"Dollar per hundredweight"
2014,"Dairy cow indicators","Dairy cow prices",1835,"Dollars per head"
2014,"Dairy cow indicators","Milk volume required to buy a cow",7646,"Pounds"
2014,"Other indicators","Alfalfa hay price received by farmers",200.25,"Dollars per ton"
2014,"Other indicators","Slaughter cow price",102.04,"Dollar per hundredweight"
2015,"January 1 inventory","Milk cows and heifers that have calved",9311.9,"Thousand head"
2015,"January 1 inventory","Replacement heifers, 500+ pounds",4710.4,"Thousand head"
2015,"January 1 inventory","Replacements per 100 cows",50.6,"Head"
2015,"Production indicators","Milk production",208508,"Million pounds"
2015,"Production indicators","Milk per cow",22372,"Pounds"
2015,"Production indicators","Average number of milk cows in the United States",9320,"Thousand"
2015,"Milk and feed price indicators","Average price paid for milk",17.1,"Dollar per hundredweight"
2015,"Milk and feed price indicators","Milk-feed ratio",2.14,"Number"
2015,"Milk and feed price indicators","Dairy feed value",7.99,"Dollar per hundredweight"
2015,"Dairy cow indicators","Dairy cow prices",1992.5,"Dollars per head"
2015,"Dairy cow indicators","Milk volume required to buy a cow",11652,"Pounds"
2015,"Other indicators","Alfalfa hay price received by farmers",165.83,"Dollars per ton"
2015,"Other indicators","Slaughter cow price",99.56,"Dollar per hundredweight"
2016,"January 1 inventory","Milk cows and heifers that have calved",9312.4,"Thousand head"
2016,"January 1 inventory","Replacement heifers, 500+ pounds",4814,"Thousand head"
2016,"January 1 inventory","Replacements per 100 cows",51.7,"Head"
2016,"Production indicators","Milk production",212451,"Million pounds"
2016,"Production indicators","Milk per cow",22761,"Pounds"
2016,"Production indicators","Average number of milk cows in the United States",9334,"Thousand"
2016,"Milk and feed price indicators","Average price paid for milk",16.3,"Dollar per hundredweight"
2016,"Milk and feed price indicators","Milk-feed ratio",2.26,"Number"
2016,"Milk and feed price indicators","Dairy feed value",7.21,"Dollar per hundredweight"
2016,"Dairy cow indicators","Dairy cow prices",1770,"Dollars per head"
2016,"Dairy cow indicators","Milk volume required to buy a cow",10859,"Pounds"
2016,"Other indicators","Alfalfa hay price received by farmers",138.33,"Dollars per ton"
2016,"Other indicators","Slaughter cow price",70.07,"Dollar per hundredweight"
2017,"January 1 inventory","Milk cows and heifers that have calved",9368.5,"Thousand head"
2017,"January 1 inventory","Replacement heifers, 500+ pounds",4754,"Thousand head"
2017,"January 1 inventory","Replacements per 100 cows",50.7,"Head"
2017,"Production indicators","Milk production",215527,"Million pounds"
2017,"Production indicators","Milk per cow",22914,"Pounds"
2017,"Production indicators","Average number of milk cows in the United States",9406,"Thousand"
2017,"Milk and feed price indicators","Average price paid for milk",17.7,"Dollar per hundredweight"
2017,"Milk and feed price indicators","Milk-feed ratio",2.42,"Number"
2017,"Milk and feed price indicators","Dairy feed value",7.31,"Dollar per hundredweight"
2017,"Dairy cow indicators","Dairy cow prices",1622.5,"Dollars per head"
2017,"Dairy cow indicators","Milk volume required to buy a cow",9167,"Pounds"
2017,"Other indicators","Alfalfa hay price received by farmers",145.67,"Dollars per ton"
2017,"Other indicators","Slaughter cow price",65.16,"Dollar per hundredweight"
2018,"January 1 inventory","Milk cows and heifers that have calved",9432.1,"Thousand head"
2018,"January 1 inventory","Replacement heifers, 500+ pounds",4768.3,"Thousand head"
2018,"January 1 inventory","Replacements per 100 cows",50.6,"Head"
2018,"Production indicators","Milk production",217584,"Million pounds"
2018,"Production indicators","Milk per cow",23152,"Pounds"
2018,"Production indicators","Average number of milk cows in the United States",9398,"Thousand"
2018,"Milk and feed price indicators","Average price paid for milk",16.3,"Dollar per hundredweight"
2018,"Milk and feed price indicators","Milk-feed ratio",2.05,"Number"
2018,"Milk and feed price indicators","Dairy feed value",7.95,"Dollar per hundredweight"
2018,"Dairy cow indicators","Dairy cow prices",1357.5,"Dollars per head"
2018,"Dairy cow indicators","Milk volume required to buy a cow",8328,"Pounds"
2018,"Other indicators","Alfalfa hay price received by farmers",174.17,"Dollars per ton"
2018,"Other indicators","Slaughter cow price",57.43,"Dollar per hundredweight"
2019,"January 1 inventory","Milk cows and heifers that have calved",9353.4,"Thousand head"
2019,"January 1 inventory","Replacement heifers, 500+ pounds",4673.5,"Thousand head"
2019,"January 1 inventory","Replacements per 100 cows",50,"Head"
2019,"Production indicators","Milk production",218444,"Million pounds"
2019,"Production indicators","Milk per cow",23401,"Pounds"
2019,"Production indicators","Average number of milk cows in the United States",9335,"Thousand"
2019,"Milk and feed price indicators","Average price paid for milk",18.7,"Dollar per hundredweight"
2019,"Milk and feed price indicators","Milk-feed ratio",2.25,"Number"
2019,"Milk and feed price indicators","Dairy feed value",8.31,"Dollar per hundredweight"
2019,"Dairy cow indicators","Dairy cow prices",1205,"Dollars per head"
2019,"Dairy cow indicators","Milk volume required to buy a cow",6444,"Pounds"
2019,"Other indicators","Alfalfa hay price received by farmers",182.92,"Dollars per ton"
2019,"Other indicators","Slaughter cow price",56.43,"Dollar per hundredweight"
2020,"January 1 inventory","Milk cows and heifers that have calved",9343.6,"Thousand head"
2020,"January 1 inventory","Replacement heifers, 500+ pounds",4610,"Thousand head"
2020,"January 1 inventory","Replacements per 100 cows",49.3,"Head"
2020,"Production indicators","Milk production",223282,"Million pounds"
2020,"Production indicators","Milk per cow",23764,"Pounds"
2020,"Production indicators","Average number of milk cows in the United States",9396,"Thousand"
2020,"Milk and feed price indicators","Average price paid for milk",18.1,"Dollar per hundredweight"
2020,"Milk and feed price indicators","Milk-feed ratio",2.32,"Number"
2020,"Milk and feed price indicators","Dairy feed value",7.8,"Dollar per hundredweight"
2020,"Dairy cow indicators","Dairy cow prices",1300,"Dollars per head"
2020,"Dairy cow indicators","Milk volume required to buy a cow",7182,"Pounds"
2020,"Other indicators","Alfalfa hay price received by farmers",171.33,"Dollars per ton"
2020,"Other indicators","Slaughter cow price",60.61,"Dollar per hundredweight"
2021,"January 1 inventory","Milk cows and heifers that have calved",9450.4,"Thousand head"
2021,"January 1 inventory","Replacement heifers, 500+ pounds",4498,"Thousand head"
2021,"January 1 inventory","Replacements per 100 cows",47.6,"Head"
2021,"Production indicators","Milk production",226238,"Million pounds"
2021,"Production indicators","Milk per cow",23943,"Pounds"
2021,"Production indicators","Average number of milk cows in the United States",9449,"Thousand"
2021,"Milk and feed price indicators","Average price paid for milk",18.5,"Dollar per hundredweight"
2021,"Milk and feed price indicators","Milk-feed ratio",1.74,"Number"
2021,"Milk and feed price indicators","Dairy feed value",10.63,"Dollar per hundredweight"
2021,"Dairy cow indicators","Dairy cow prices",1362.5,"Dollars per head"
2021,"Dairy cow indicators","Milk volume required to buy a cow",7365,"Pounds"
2021,"Other indicators","Alfalfa hay price received by farmers",199.5,"Dollars per ton"
2021,"Other indicators","Slaughter cow price",64.91,"Dollar per hundredweight"
2022,"January 1 inventory","Milk cows and heifers that have calved",9381,"Thousand head"
2022,"January 1 inventory","Replacement heifers, 500+ pounds",4222.1,"Thousand head"
2022,"January 1 inventory","Replacements per 100 cows",45,"Head"
2022,"Production indicators","Milk production",226416,"Million pounds"
2022,"Production indicators","Milk per cow",24087,"Pounds"
2022,"Production indicators","Average number of milk cows in the United States",9400,"Thousand"
2022,"Milk and feed price indicators","Average price paid for milk",25.3,"Dollar per hundredweight"
2022,"Milk and feed price indicators","Milk-feed ratio",1.89,"Number"
2022,"Milk and feed price indicators","Dairy feed value",13.39,"Dollar per hundredweight"
2022,"Dairy cow indicators","Dairy cow prices",1597.5,"Dollars per head"
2022,"Dairy cow indicators","Milk volume required to buy a cow",6314,"Pounds"
2022,"Other indicators","Alfalfa hay price received by farmers",258.42,"Dollars per ton"
2022,"Other indicators","Slaughter cow price",78.44,"Dollar per hundredweight"
2023,"January 1 inventory","Milk cows and heifers that have calved",9397.5,"Thousand head"
2023,"January 1 inventory","Replacement heifers, 500+ pounds",4073.6,"Thousand head"
2023,"January 1 inventory","Replacements per 100 cows",43.3,"Head"
2023,"Production indicators","Milk production",226311,"Million pounds"
2023,"Production indicators","Milk per cow",24117,"Pounds"
2023,"Production indicators","Average number of milk cows in the United States",9384,"Thousand"
2023,"Milk and feed price indicators","Average price paid for milk",20.3,"Dollar per hundredweight"
2023,"Milk and feed price indicators","Milk-feed ratio",1.67,"Number"
2023,"Milk and feed price indicators","Dairy feed value",12.16,"Dollar per hundredweight"
2023,"Dairy cow indicators","Dairy cow prices",1762.5,"Dollars per head"
2023,"Dairy cow indicators","Milk volume required to buy a cow",8682,"Pounds"
2023,"Other indicators","Alfalfa hay price received by farmers",246.5,"Dollars per ton"
2023,"Other indicators","Slaughter cow price",94.77,"Dollar per hundredweight"
2024,"January 1 inventory","Milk cows and heifers that have calved",9346.8,"Thousand head"
2024,"January 1 inventory","Replacement heifers, 500+ pounds",3951.2,"Thousand head"
2024,"January 1 inventory","Replacements per 100 cows",42.3,"Head"
2024,"Production indicators","Milk production",225868,"Million pounds"
2024,"Production indicators","Milk per cow",24178,"Pounds"
2024,"Production indicators","Average number of milk cows in the United States",9342,"Thousand"
2024,"Milk and feed price indicators","Average price paid for milk",22.6,"Dollar per hundredweight"
2024,"Milk and feed price indicators","Milk-feed ratio",2.48,"Number"
2024,"Milk and feed price indicators","Dairy feed value",9.11,"Dollar per hundredweight"
2024,"Dairy cow indicators","Dairy cow prices",2242.5,"Dollars per head"
2024,"Dairy cow indicators","Milk volume required to buy a cow",9923,"Pounds"
2024,"Other indicators","Alfalfa hay price received by farmers",185.25,"Dollars per ton"
2024,"Other indicators","Slaughter cow price",118.8,"Dollar per hundredweight"
2025,"January 1 inventory","Milk cows and heifers that have calved",9349.3,"Thousand head"
2025,"January 1 inventory","Replacement heifers, 500+ pounds",3914.3,"Thousand head"
2025,"January 1 inventory","Replacements per 100 cows",41.9,"Head"
2025,"Production indicators","Milk production",#N/A,"Million pounds"
2025,"Production indicators","Milk per cow",#N/A,"Pounds"
2025,"Production indicators","Average number of milk cows in the United States",#N/A,"Thousand"
2025,"Milk and feed price indicators","Average price paid for milk",#N/A,"Dollar per hundredweight"
2025,"Milk and feed price indicators","Milk-feed ratio",#N/A,"Number"
2025,"Milk and feed price indicators","Dairy feed value",#N/A,"Dollar per hundredweight"
2025,"Dairy cow indicators","Dairy cow prices",#N/A,"Dollars per head"
2025,"Dairy cow indicators","Milk volume required to buy a cow",#N/A,"Pounds"
2025,"Other indicators","Alfalfa hay price received by farmers",#N/A,"Dollars per ton"
2025,"Other indicators","Slaughter cow price",#N/A,"Dollar per hundredweight"
