feature,importance
allocated_overhead,0.8376066343048397
size_fewer_than_50_cows,0.048942065897659766
milk_price_feed_price_gap,0.032774498494280456
operating_costs,0.03183036546459048
size_50_to_99_cows,0.024339820922457376
milk_per_cow_annual,0.01195825379036745
size_2000_cows_or_more,0.007497861976203768
size_200_to_499_cows,0.002006913600765092
size_all_sizes,0.0014088704869235664
size_500_to_999_cows,0.0011593861751449136
size_100_to_199_cows,0.00047532888676737433
